Material ID,Formula
mp-1111789,Na2FeAgF6
mp-1111507,Na2EuCuCl6
mp-1111508,Na2ErCuCl6
mp-1112403,Na2CuSbF6
mp-1113314,Na2CuSbCl6
mp-1114079,Na2CuPdF6
mp-1111066,Na2CuMoF6
mp-1114157,Na2CuBiF6
mp-1111510,Na2CuBiCl6
mp-1111135,Na2CuBiBr6
mp-1114158,Na2CuAuF6
mp-1111511,Na2CuAuCl6
mp-1111698,Na2CuAsF6
mp-1112404,Na2CrHgF6
mp-1111086,Na2CrAuF6
mp-1111094,Na2CrAgF6
mp-1113475,Na2CoHgF6
mp-1111141,Na2CoAuF6
mp-1111539,Na2CoAgF6
mp-1111509,Na2CeCuCl6
mp-1111089,Na2AsAuF6
mp-1111051,Na2AlTlF6
mp-1114030,Na2AlInF6
mp-1114062,Na2AlHgF6
mp-1114067,Na2AlHgCl6
mp-1114066,Na2AlHgBr6
mp-1111082,Na2AlCuF6
mp-1111088,Na2AlAuF6
mp-1111544,Na2AlAgF6
mp-1111545,Na2AlAgCl6
mp-1111586,Na2AlAgBr6
mp-1111526,Na2AgSbF6
mp-1111538,Na2AgSbCl6
mp-1111527,Na2AgRuF6
mp-1111762,Na2AgRhF6
mp-1111528,Na2AgPdF6
mp-1111529,Na2AgMoF6
mp-1111763,Na2AgIrF6
mp-1111540,Na2AgAuF6
mp-1111541,Na2AgAuCl6
mp-1111187,Na2AgAuBr6
mp-1111093,Na2AgAsF6
mp-1111543,Na2AgAsCl6
mp-1111192,Na2AgAsBr6
mp-1111898,Li2ScCuF6
mp-1111262,Li2ScCuCl6
mp-1111146,Li2NiAgF6
mp-1111263,Li2MnCuF6
mp-1111902,Li2MnAgF6
mp-1111899,Li2GaCuF6
mp-1111554,Li2FeHgF6
mp-1111903,Li2FeAgF6
mp-1111097,Li2CuSbF6
mp-1111560,Li2CuNiF6
mp-1111143,Li2CuMoF6
mp-1111113,Li2CuIrF6
mp-1111901,Li2CuAuF6
mp-1111561,Li2CuAsF6
mp-1111900,Li2CrCuF6
mp-1111556,Li2CoHgF6
mp-1111099,Li2CoAgF6
mp-1111559,Li2AlHgF6
mp-1111683,Li2AlCuF6
mp-1111564,Li2AlAgF6
mp-1111562,Li2AgAsF6
mp-557411,KRb2VF6
mp-1114557,KRb2TmCl6
mp-1114556,KRb2TlI6
mp-1114355,KRb2TlF6
mp-1114555,KRb2TlCl6
mp-1114413,KRb2TlBr6
mp-6074,KRb2TiF6
mp-1114554,KRb2TbCl6
mp-1114550,KRb2SmCl6
mp-1110633,KRb2ScI6
mp-9349,KRb2ScF6
mp-1114410,KRb2ScCl6
mp-1114409,KRb2ScBr6
mp-1114696,KRb2RuF6
mp-14036,KRb2RhF6
mp-1114694,KRb2PdF6
mp-555464,KRb2NiF6
mp-1114543,KRb2NbF6
mp-1114350,KRb2MnF6
mp-1114541,KRb2LuCl6
mp-1114405,KRb2LaCl6
mp-1114404,KRb2IrF6
mp-1114511,KRb2InI6
mp-1078205,KRb2InF6
mp-989529,KRb2InCl6
mp-1114539,KRb2InBr6
mp-1114538,KRb2GdCl6
mp-1114382,KRb2GaI6
mp-13190,KRb2GaF6
mp-1114657,KRb2GaCl6
mp-1114656,KRb2GaBr6
mp-561067,KRb2FeF6
mp-1114342,KRb2EuCl6
mp-1114537,KRb2ErCl6
mp-1114536,KRb2DyCl6
mp-560071,KRb2CoF6
mp-1114399,KRb2AuF6
mp-1114530,KRb2AuBr6
mp-1114510,KRb2AsI6
mp-1114640,KRb2AsF6
mp-1114655,KRb2AsCl6
mp-1114654,KRb2AsBr6
mp-1114509,KRb2AlI6
mp-1114347,KRb2AlF6
mp-1114653,KRb2AlCl6
mp-1114652,KRb2AlBr6
mp-1113944,KNa2TiF6
mp-1113947,KNa2TaF6
mp-1111026,KNa2ScF6
mp-1113946,KNa2SbF6
mp-1111057,KNa2RuF6
mp-1111058,KNa2RhF6
mp-1111025,KNa2PdF6
mp-1111059,KNa2NbF6
mp-1113958,KNa2MoF6
mp-1111024,KNa2MnF6
mp-1113957,KNa2IrF6
mp-1113960,KNa2GaF6
mp-1113959,KNa2FeF6
mp-1114127,KNa2CrF6
mp-1113962,KNa2CoF6
mp-1113961,KNa2AsF6
mp-1111060,KNa2AlF6
mp-1111122,K2YTlF6
mp-1111194,K2YTlBr6
mp-1111119,K2YInF6
mp-1111679,K2YInCl6
mp-1112022,K2YHgI6
mp-1112192,K2YHgF6
mp-1112193,K2YHgCl6
mp-1112025,K2YHgBr6
mp-1112213,K2YCuI6
mp-1112158,K2YCuCl6
mp-1112034,K2YCuBr6
mp-1112056,K2YAuI6
mp-1112331,K2YAuF6
mp-1112059,K2YAuCl6
mp-1112058,K2YAuBr6
mp-1112076,K2YAgI6
mp-1112441,K2YAgF6
mp-1112075,K2YAgCl6
mp-1112079,K2YAgBr6
mp-1112011,K2VHgF6
mp-1112332,K2VAuF6
mp-1112442,K2VAgF6
mp-1112215,K2TmCuCl6
mp-1112061,K2TmAuCl6
mp-1112443,K2TmAgCl6
mp-1111565,K2TlVF6
mp-1111125,K2TlSbF6
mp-1111196,K2TlSbCl6
mp-1111195,K2TlSbBr6
mp-1111570,K2TlRuF6
mp-1111571,K2TlRhF6
mp-1111572,K2TlPdF6
mp-1111264,K2TlNiF6
mp-1111573,K2TlMoF6
mp-1111575,K2TlIrF6
mp-1111269,K2TlInI6
mp-1111576,K2TlInF6
mp-1111577,K2TlInCl6
mp-1111578,K2TlInBr6
mp-1112024,K2TlHgI6
mp-1111956,K2TlHgF6
mp-1112027,K2TlHgCl6
mp-1112026,K2TlHgBr6
mp-1111197,K2TlGaI6
mp-1111579,K2TlGaF6
mp-1111581,K2TlGaCl6
mp-1111137,K2TlGaBr6
mp-1111905,K2TlFeF6
mp-1112168,K2TlCuF6
mp-1111969,K2TlCuCl6
mp-1112216,K2TlCuBr6
mp-1111583,K2TlCrF6
mp-1111102,K2TlCoF6
mp-1111584,K2TlBiF6
mp-1112333,K2TlAuI6
mp-1111906,K2TlAuF6
mp-1112414,K2TlAuCl6
mp-1111585,K2TlAuBr6
mp-1111200,K2TlAsI6
mp-1111587,K2TlAsF6
mp-1111588,K2TlAsCl6
mp-1111589,K2TlAsBr6
mp-1112078,K2TlAgI6
mp-1112444,K2TlAgF6
mp-1112081,K2TlAgCl6
mp-1112445,K2TlAgBr6
mp-1111904,K2TiTlF6
mp-1112548,K2TiHgF6
mp-1114279,K2TiCuF6
mp-1111957,K2TiAuF6
mp-1112560,K2TiAgF6
mp-1111991,K2TbCuCl6
mp-1112060,K2TbAuCl6
mp-1112446,K2TbAgCl6
mp-1111566,K2TaTlF6
mp-1112194,K2TaHgF6
mp-1112036,K2TaCuI6
