"formula","A","B1","B2","X","tolerance_factor","irA","rsA","rpA","rdA","XcA","eaA","ipA","hoalA","lualA","irB1","rsB1","rpB1","rdB1","XcB1","eaB1","ipB1","hoalB1","lualB1","irB2","rsB2","rpB2","rdB2","XcB2","eaB2","ipB2","hoalB2","lualB2","irX","rsX","rpX","rdX","XcX","eaX","ipX","hoalX","lualX"
"Ag2PdCrI6","Ag","Pd","Cr","I","0.8780487416696469","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.59","0.0","0.497","0.567","2.2","53.7","8.3369","10","11","0.615","1.453","0.416","0.0","1.66","64.3","30.96","7","8","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Ag2PdCrBr6","Ag","Pd","Cr","Br","0.8940589155295273","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.59","0.0","0.497","0.567","2.2","53.7","8.3369","10","11","0.615","1.453","0.416","0.0","1.66","64.3","30.96","7","8","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Ag2PdGaF6","Ag","Pd","Ga","F","0.9537719374144129","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.59","0.0","0.497","0.567","2.2","53.7","8.3369","10","11","0.62","0.96","0.298","0.276","1.81","28.9","30.71","8","9","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Ag2PdGaCl6","Ag","Pd","Ga","Cl","0.9047453225119799","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.59","0.0","0.497","0.567","2.2","53.7","8.3369","10","11","0.62","0.96","0.298","0.276","1.81","28.9","30.71","8","9","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Ag2PdGaI6","Ag","Pd","Ga","I","0.8772661670335777","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.59","0.0","0.497","0.567","2.2","53.7","8.3369","10","11","0.62","0.96","0.298","0.276","1.81","28.9","30.71","8","9","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Ag2PdGaBr6","Ag","Pd","Ga","Br","0.8931875130777442","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.59","0.0","0.497","0.567","2.2","53.7","8.3369","10","11","0.62","0.96","0.298","0.276","1.81","28.9","30.71","8","9","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Ag2PdInF6","Ag","Pd","In","F","0.9113820735293279","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.59","0.0","0.497","0.567","2.2","53.7","8.3369","10","11","0.8","1.093","1.382","0.483","1.78","28.9","28.03","11","12","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Ag2PdInCl6","Ag","Pd","In","Cl","0.8722395025414897","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.59","0.0","0.497","0.567","2.2","53.7","8.3369","10","11","0.8","1.093","1.382","0.483","1.78","28.9","28.03","11","12","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Ag2PdInI6","Ag","Pd","In","I","0.8499936437061089","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.59","0.0","0.497","0.567","2.2","53.7","8.3369","10","11","0.8","1.093","1.382","0.483","1.78","28.9","28.03","11","12","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Ag2PdInBr6","Ag","Pd","In","Br","0.8629099702615495","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.59","0.0","0.497","0.567","2.2","53.7","8.3369","10","11","0.8","1.093","1.382","0.483","1.78","28.9","28.03","11","12","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
