"formula","A","B1","B2","X","tolerance_factor","irA","rsA","rpA","rdA","XcA","eaA","ipA","hoalA","lualA","irB1","rsB1","rpB1","rdB1","XcB1","eaB1","ipB1","hoalB1","lualB1","irB2","rsB2","rpB2","rdB2","XcB2","eaB2","ipB2","hoalB2","lualB2","irX","rsX","rpX","rdX","XcX","eaX","ipX","hoalX","lualX"
"Ag2AgMoF6","Ag","Ag","Mo","F","0.7972132608625871","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.69","1.52","0.56","0.702","2.16","71.9","27.13","10","11","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Ag2AgMoCl6","Ag","Ag","Mo","Cl","0.7817388028144656","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.69","1.52","0.56","0.702","2.16","71.9","27.13","10","11","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Ag2AgMoI6","Ag","Ag","Mo","I","0.7726001879212513","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.69","1.52","0.56","0.702","2.16","71.9","27.13","10","11","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Ag2AgMoBr6","Ag","Ag","Mo","Br","0.7779375113902934","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.69","1.52","0.56","0.702","2.16","71.9","27.13","10","11","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Ag2AgNF6","Ag","Ag","N","F","0.9002676579984825","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.16","0.521","0.488","0.0","3.04","112.0","47.44924","3","4","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Ag2AgNCl6","Ag","Ag","N","Cl","0.8636205351250716","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.16","0.521","0.488","0.0","3.04","112.0","47.44924","3","4","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Ag2AgNI6","Ag","Ag","N","I","0.8427163008661595","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.16","0.521","0.488","0.0","3.04","112.0","47.44924","3","4","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Ag2AgNBr6","Ag","Ag","N","Br","0.854860436956871","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.16","0.521","0.488","0.0","3.04","112.0","47.44924","3","4","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Ag2AgNbF6","Ag","Ag","Nb","F","0.7920809866510253","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.72","1.589","0.586","0.747","1.6","86.1","25.04","10","11","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Ag2AgNbCl6","Ag","Ag","Nb","Cl","0.7775658198812924","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.72","1.589","0.586","0.747","1.6","86.1","25.04","10","11","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
